season,player,position,school,public_nil_value,school_key
2025,Arch Manning,QB,Texas Longhorns,5400000,texaslonghorns
2025,Sam Leavitt,QB,LSU Tigers,4000000,lsutigers
2025,Brendan Sorsby,QB,Texas Tech Red Raiders,3100000,texastechredraiders
2025,Dante Moore,QB,Oregon Ducks,3000000,oregonducks
2025,Bryce Underwood,QB,Michigan Wolverines,3000000,michiganwolverines
2025,LaNorris Sellers,QB,South Carolina Gamecocks,2700000,southcarolinagamecocks
2025,Drew Mestemaker,QB,Oklahoma State Cowboys,2400000,oklahomastatecowboys
2025,Mason Heintschel,QB,Pittsburgh Panthers,2400000,pittsburghpanthers
2025,Julian Sayin,QB,Ohio State Buckeyes,2400000,ohiostatebuckeyes
2025,Josh Hoover,QB,Indiana Hoosiers,2200000,indianahoosiers
2025,Darian Mensah,QB,Miami Hurricanes,2200000,miamihurricanes
2025,Jayden Maiava,QB,USC Trojans,2200000,usctrojans
2025,Jaron-Keawe Sagapolutele,QB,California Golden Bears,2000000,californiagoldenbears
2025,John Mateer,QB,Oklahoma Sooners,2000000,oklahomasooners
2025,CJ Bailey,QB,NC State Wolfpack,1900000,ncstatewolfpack
2025,Malik Washington,QB,Maryland Terrapins,1900000,marylandterrapins
2025,DJ Lagway,QB,Florida Gators,1800000,floridagators
2025,Jared Curtis,QB,Vanderbilt Commodores,1700000,vanderbiltcommodores
2025,Trinidad Chambliss,QB,Ole Miss Rebels,1600000,olemissrebels
2025,Byrum Brown,QB,Auburn Tigers,1600000,auburntigers
2025,CJ Carr,QB,Notre Dame Fighting Irish,1500000,notredamefightingirish
2025,Conner Weigman,QB,Houston Cougars,1500000,houstoncougars
2025,Noah Fifita,QB,Arizona Wildcats,1500000,arizonawildcats
2025,Cutter Boley,QB,Arizona State Sun Devils,1500000,arizonastatesundevils
2025,Gunner Stockton,QB,Georgia Bulldogs,1400000,georgiabulldogs
2025,Avery Johnson,QB,Kansas State Wildcats,1300000,kansasstatewildcats
2025,Beau Pribula,QB,Virginia Cavaliers,1300000,virginiacavaliers
2025,Marcel Reed,QB,Texas A&M Aggies,896000,texasaandmaggies
2025,Faizon Brandon,QB,Tennessee Volunteers,864000,tennesseevolunteers
2025,Dia Bell,QB,Texas Longhorns,788000,texaslonghorns
2025,Jackson Arnold,QB,Auburn Tigers,740000,auburntigers
2025,Devon Dampier,QB,Utah Utes,740000,utahutes
